Year,Month,Running Month,Longitude,Latitude,I=U*A-S1,I=U*A-Median,I=U*A-S5,I=U*A-Mean,I=U*A-Observation number,I=U*A-Standard deviation,I=U*A-Mean day of the month,I=U*A-Fraction of daylight observations,J=V*A-S1,J=V*A-Median,J=V*A-S5,J=V*A-Mean,J=V*A-Observation number,J=V*A-Standard deviation,J=V*A-Mean day of the month,J=V*A-Fraction of daylight observations,K=U*Q-S1,K=U*Q-Median,K=U*Q-S5,K=U*Q-Mean,K=U*Q-Observation number,K=U*Q-Standard deviation,K=U*Q-Mean day of the month,K=U*Q-Fraction of daylight observations,L=V*Q-S1,L=V*Q-Median,L=V*Q-S5,L=V*Q-Mean,L=V*Q-Observation number,L=V*Q-Standard deviation,L=V*Q-Mean day of the month,L=V*Q-Fraction of daylight observations,M=(QS-Q)*U-S1,M=(QS-Q)*U-Median,M=(QS-Q)*U-S5,M=(QS-Q)*U-Mean,M=(QS-Q)*U-Observation number,M=(QS-Q)*U-Standard deviation,M=(QS-Q)*U-Mean day of the month,M=(QS-Q)*U-Fraction of daylight observations,N=(QS-Q)*V-S1,N=(QS-Q)*V-Median,N=(QS-Q)*V-S5,N=(QS-Q)*V-Mean,N=(QS-Q)*V-Observation number,N=(QS-Q)*V-Standard deviation,N=(QS-Q)*V-Mean day of the month,N=(QS-Q)*V-Fraction of daylight observations,B1=W*W*W-S1,B1=W*W*W-Median,B1=W*W*W-S5,B1=W*W*W-Mean,B1=W*W*W-Observation number,B1=W*W*W-Standard deviation,B1=W*W*W-Mean day of the month,B1=W*W*W-Fraction of daylight observations,B2=W*W*W-S1,B2=W*W*W-Median,B2=W*W*W-S5,B2=W*W*W-Mean,B2=W*W*W-Observation number,B2=W*W*W-Standard deviation,B2=W*W*W-Mean day of the month,B2=W*W*W-Fraction of daylight observations,D=S-A-S1,D=S-A-Median,D=S-A-S5,D=S-A-Mean,D=S-A-Observation number,D=S-A-Standard deviation,D=S-A-Mean day of the month,D=S-A-Fraction of daylight observations,E=(S-A)*W-S1,E=(S-A)*W-Median,E=(S-A)*W-S5,E=(S-A)*W-Mean,E=(S-A)*W-Observation number,E=(S-A)*W-Standard deviation,E=(S-A)*W-Mean day of the month,E=(S-A)*W-Fraction of daylight observations,F=QS-Q-S1,F=QS-Q-Median,F=QS-Q-S5,F=QS-Q-Mean,F=QS-Q-Observation number,F=QS-Q-Standard deviation,F=QS-Q-Mean day of the month,F=QS-Q-Fraction of daylight observations,G=(QS-Q)*W-S1,G=(QS-Q)*W-Median,G=(QS-Q)*W-S5,G=(QS-Q)*W-Mean,G=(QS-Q)*W-Observation number,G=(QS-Q)*W-Standard deviation,G=(QS-Q)*W-Mean day of the month,G=(QS-Q)*W-Fraction of daylight observations,S-S1,S-Median,S-S5,S-Mean,S-Observation number,S-Standard deviation,S-Mean day of the month,S-Fraction of daylight observations,A-S1,A-Median,A-S5,A-Mean,A-Observation number,A-Standard deviation,A-Mean day of the month,A-Fraction of daylight observations,Q-S1,Q-Median,Q-S5,Q-Mean,Q-Observation number,Q-Standard deviation,Q-Mean day of the month,Q-Fraction of daylight observations,R-S1_x,R-Median_x,R-S5_x,R-Mean_x,R-Observation number_x,R-Standard deviation_x,R-Mean day of the month_x,R-Fraction of daylight observations_x,W-S1,W-Median,W-S5,W-Mean,W-Observation number,W-Standard deviation,W-Mean day of the month,W-Fraction of daylight observations,U-S1,U-Median,U-S5,U-Mean,U-Observation number,U-Standard deviation,U-Mean day of the month,U-Fraction of daylight observations,V-S1,V-Median,V-S5,V-Mean,V-Observation number,V-Standard deviation,V-Mean day of the month,V-Fraction of daylight observations,P-S1,P-Median,P-S5,P-Mean,P-Observation number,P-Standard deviation,P-Mean day of the month,P-Fraction of daylight observations,C-S1,C-Median,C-S5,C-Mean,C-Observation number,C-Standard deviation,C-Mean day of the month,C-Fraction of daylight observations,R-S1_y,R-Median_y,R-S5_y,R-Mean_y,R-Observation number_y,R-Standard deviation_y,R-Mean day of the month_y,R-Fraction of daylight observations_y,X=W*U-S1,X=W*U-Median,X=W*U-S5,X=W*U-Mean,X=W*U-Observation number,X=W*U-Standard deviation,X=W*U-Mean day of the month,X=W*U-Fraction of daylight observations,Y=W*V-S1,Y=W*V-Median,Y=W*V-S5,Y=W*V-Mean,Y=W*V-Observation number,Y=W*V-Standard deviation,Y=W*V-Mean day of the month,Y=W*V-Fraction of daylight observations
2009,10,24118,-179.6,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,1.0,0.0,12.0,0.0,80.3,81.3,82.2,81.3,2.0,2.1,12.0,0.0,-66.9,-57.7,-48.5,-57.7,2.0,19.0,12.0,0.0,-23.0,-16.8,-10.7,-16.8,2.0,12.8,12.0,0.0
2009,10,24118,-179.6,18.6,-137.0,-137.0,-137.0,-137.0,1.0,0.0,22.0,1.0,-115.0,-115.0,-115.0,-115.0,1.0,0.0,22.0,1.0,-74.7,-74.7,-74.7,-74.7,1.0,0.0,22.0,1.0,-62.7,-62.7,-62.7,-62.7,1.0,0.0,22.0,1.0,-49.0,-49.0,-49.0,-49.0,1.0,0.0,22.0,1.0,-41.1,-41.1,-41.1,-41.1,1.0,0.0,22.0,1.0,301.0,301.0,301.0,301.0,1.0,0.0,22.0,1.0,300.0,300.0,300.0,300.0,1.0,0.0,22.0,1.0,1.6,1.6,1.6,1.6,1.0,0.0,22.0,1.0,10.7,10.7,10.7,10.7,1.0,0.0,22.0,1.0,9.55,9.55,9.55,9.55,1.0,0.0,22.0,1.0,64.0,64.0,64.0,64.0,1.0,0.0,22.0,1.0,28.3,28.3,28.3,28.3,1.0,0.0,22.0,1.0,26.7,26.7,26.7,26.7,1.0,0.0,22.0,1.0,14.56,14.56,14.56,14.56,1.0,0.0,22.0,1.0,66.7,66.7,66.7,66.7,1.0,0.0,22.0,1.0,6.7,6.7,6.7,6.7,1.0,0.0,22.0,1.0,-5.13,-5.13,-5.13,-5.13,1.0,0.0,22.0,1.0,-4.31,-4.31,-4.31,-4.31,1.0,0.0,22.0,1.0,1012.0,1012.0,1012.0,1012.0,1.0,0.0,22.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,22.0,1.0,66.7,66.7,66.7,66.7,1.0,0.0,22.0,1.0,-34.4,-34.4,-34.4,-34.4,1.0,0.0,22.0,1.0,-28.9,-28.9,-28.9,-28.9,1.0,0.0,22.0,1.0
2009,10,24118,-179.6,34.2,-26.0,123.2,215.8,98.7,9.0,126.2,14.0,0.6,-202.1,-70.4,199.9,-31.6,9.0,208.3,14.0,0.6,-17.3,93.0,119.3,56.0,8.0,76.8,14.0,0.5,-91.1,-19.5,134.7,13.3,8.0,116.0,14.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.47,10.8,16.46,11.96,9.0,4.39,14.0,0.6,-1.04,5.13,10.49,4.96,9.0,6.18,14.0,0.6,-10.16,-3.35,9.55,-2.05,9.0,10.46,14.0,0.6,1009.13,1010.0,1017.73,1012.92,9.0,4.12,14.0,0.6,5.0,6.0,8.0,6.3,9.0,1.7,14.0,0.6,69.5,75.7,83.3,77.0,8.0,9.4,14.0,0.5,-8.5,59.4,137.1,64.9,9.0,89.2,14.0,0.6,-153.5,-32.8,133.7,-30.9,9.0,164.4,14.0,0.6
2009,10,24118,-179.6,34.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.9,36.9,49.7,25.9,7.0,28.2,14.0,0.4,-38.1,-21.8,15.5,-8.7,7.0,36.0,14.0,0.4,421.5,1259.5,4498.5,2337.0,9.0,2190.5,14.0,0.6,420.0,1260.0,4500.0,2335.0,9.0,2190.0,14.0,0.6,-1.36,0.9,2.44,0.64,8.0,1.8,16.0,0.5,-14.8,7.2,32.3,8.2,8.0,23.0,16.0,0.5,3.3,3.75,6.02,4.17,7.0,1.87,14.0,0.4,30.0,43.2,64.3,46.3,7.0,21.4,14.0,0.4,18.98,21.5,23.0,21.09,8.0,2.28,16.0,0.5,18.63,20.6,23.46,20.84,9.0,2.56,14.0,0.6,9.68,12.04,15.21,12.27,8.0,2.51,14.0,0.5,69.5,75.7,83.3,77.0,8.0,9.4,14.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,10,24118,-179.6,40.3,14.3,72.0,141.7,74.9,6.0,68.5,8.0,0.2,-106.7,-51.2,64.6,-27.7,6.0,91.8,8.0,0.2,6.7,37.4,70.1,38.7,6.0,36.3,8.0,0.2,-54.8,-28.7,33.4,-12.6,6.0,50.5,8.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.73,10.05,11.11,8.65,6.0,3.77,8.0,0.2,1.02,5.48,9.57,5.3,6.0,4.79,8.0,0.2,-8.16,-3.47,4.31,-2.27,6.0,6.41,8.0,0.2,1006.19,1012.3,1017.24,1012.35,6.0,6.33,8.0,0.2,5.0,6.5,7.2,6.3,6.0,1.2,8.0,0.2,65.4,70.4,83.9,73.9,6.0,10.4,8.0,0.2,2.0,58.0,110.9,57.4,6.0,56.8,8.0,0.2,-87.7,-30.7,40.9,-26.5,6.0,62.5,8.0,0.2
2009,10,24118,-179.6,46.5,-2.3,19.7,49.3,23.2,5.0,41.1,22.0,0.6,-92.1,-35.2,6.6,-41.9,5.0,54.3,22.0,0.6,-0.2,9.6,27.0,12.8,5.0,21.2,22.0,0.6,-51.1,-20.9,3.3,-23.1,5.0,28.4,22.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.55,8.2,9.3,7.1,5.0,2.6,22.0,0.6,-0.23,1.61,5.48,2.5,5.0,4.48,22.0,0.6,-8.47,-3.91,0.66,-3.87,5.0,4.82,22.0,0.6,1010.71,1015.0,1020.46,1015.2,5.0,6.72,22.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,10,24118,-179.6,46.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.4,2.3,5.8,0.8,4.0,7.0,24.0,0.8,-16.2,-6.1,1.1,-7.5,4.0,11.8,24.0,0.8,101.0,551.5,804.5,468.0,5.0,361.5,22.0,0.6,100.0,550.0,805.0,470.0,5.0,360.0,22.0,0.6,-1.31,-0.2,0.81,-0.25,4.0,1.25,24.0,0.8,-11.7,-3.0,3.7,-4.0,4.0,9.3,24.0,0.8,1.29,2.37,2.69,2.01,4.0,1.08,24.0,0.8,6.7,10.9,17.6,12.1,4.0,8.2,24.0,0.8,9.48,10.3,10.6,10.05,4.0,0.75,24.0,0.8,9.0,10.0,10.8,10.04,5.0,1.31,22.0,0.6,4.87,5.35,5.87,5.42,5.0,0.79,22.0,0.6,64.3,66.3,80.1,71.4,5.0,10.6,22.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,10,24118,-179.6,50.3,-25.9,0.0,17.2,-4.3,3.0,31.8,20.0,0.3,-80.7,-30.0,79.1,-1.5,3.0,119.6,20.0,0.3,-19.4,0.0,15.2,-2.0,3.0,25.4,20.0,0.3,-61.7,-26.5,41.2,-10.6,3.0,76.6,20.0,0.3,-9.3,0.0,13.5,2.1,3.0,16.8,20.0,0.3,-33.0,-23.6,3.7,-14.8,3.0,27.9,20.0,0.3,132.5,1292.0,3011.0,1888.0,6.0,2321.0,22.0,0.2,135.0,1290.0,3010.0,1890.0,6.0,2320.0,22.0,0.2,-0.05,2.0,3.37,1.67,3.0,2.52,20.0,0.3,3.7,37.0,38.5,21.5,3.0,28.8,20.0,0.3,1.63,2.15,2.83,2.23,3.0,0.88,20.0,0.3,21.0,30.8,36.9,29.0,3.0,11.7,20.0,0.3,8.0,8.0,9.37,8.67,3.0,1.15,20.0,0.3,4.63,6.0,9.41,7.0,3.0,3.61,20.0,0.3,3.84,4.49,5.63,4.73,3.0,1.33,20.0,0.3,71.9,76.3,77.3,74.6,3.0,4.2,20.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,10,24118,-179.5,-33.6,58.6,63.5,68.4,63.5,2.0,10.1,18.0,0.5,58.9,97.8,136.8,97.8,2.0,80.7,18.0,0.5,28.8,31.6,34.4,31.6,2.0,5.8,18.0,0.5,29.4,48.1,66.9,48.1,2.0,38.8,18.0,0.5,14.1,14.5,14.9,14.5,2.0,0.9,18.0,0.5,13.3,24.8,36.3,24.8,2.0,23.8,18.0,0.5,285.0,612.5,940.5,612.5,2.0,679.0,18.0,0.5,285.0,615.0,940.0,615.0,2.0,680.0,18.0,0.5,0.16,0.5,0.84,0.5,2.0,0.71,18.0,0.5,1.6,5.2,8.7,5.2,2.0,7.3,18.0,0.5,3.32,3.72,4.12,3.72,2.0,0.82,18.0,0.5,20.5,30.1,39.8,30.1,2.0,20.0,18.0,0.5,16.16,16.5,16.84,16.5,2.0,0.71,18.0,0.5,16.0,16.0,16.68,16.33,3.0,0.58,14.0,0.7,7.9,8.1,8.31,8.11,3.0,0.3,14.0,0.7,69.2,70.0,71.5,70.4,3.0,1.7,14.0,0.7,5.93,7.7,9.47,7.7,2.0,3.68,18.0,0.5,3.66,3.97,4.27,3.97,2.0,0.63,18.0,0.5,3.68,6.11,8.55,6.11,2.0,5.04,18.0,0.5,1008.38,1012.2,1015.82,1012.1,3.0,5.45,14.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,10,24118,-179.5,-29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.1,12.2,2.4,8.0,14.1,30.0,0.4,58.9,68.0,83.4,67.0,8.0,20.1,30.0,0.4,242.0,551.5,695.5,494.5,12.0,255.0,26.0,0.5,240.0,550.0,695.0,495.0,12.0,255.0,26.0,0.5,3.84,4.45,5.06,4.43,8.0,0.59,30.0,0.4,25.7,36.3,44.3,35.2,8.0,10.3,30.0,0.4,8.21,8.67,9.43,8.77,8.0,0.6,30.0,0.4,59.7,69.1,83.6,69.2,8.0,16.2,30.0,0.4,20.2,20.4,21.1,20.6,8.0,0.56,30.0,0.4,15.85,16.55,18.03,16.86,12.0,1.18,26.0,0.5,6.03,6.51,8.19,7.2,12.0,1.76,26.0,0.5,54.0,56.2,66.1,60.1,12.0,9.5,26.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
